Brasil,10,Neymar,0,true
Brasil,7,Vinicius Junior,0,false
Brasil,1,Brasao,0,false
Argentina,22,Lautaro Martinez,0,false
Argentina,1,Bandeira,0,false
Franca,7,Antoine Griezmann,0,false
Franca,1,Brasao,0,false
Alemanha,9,Kai Havertz,0,false
Alemanha,13,Thomas Muller,0,false
Espanha,6,Gavi,0,false
Espanha,9,Alvaro Morata,0,false
Portugal,10,Bernardo Silva,0,false
Portugal,1,Bandeira,0,false
Inglaterra,7,Bukayo Saka,0,false
Inglaterra,1,Brasao,0,false
Uruguai,21,Edinson Cavani,0,false
Uruguai,1,Bandeira,0,false
Croacia,8,Mateo Kovacic,0,false
Croacia,1,Brasao,0,false
Belgica,7,Jeremy Doku,0,false
Belgica,1,Bandeira,0,false
Holanda,10,Memphis Depay,0,false
Holanda,1,Brasao,0,false
Marrocos,1,Bandeira,0,false
Japao,1,Brasao,0,false
