Brasil,11,Raphinha,2,false
Brasil,9,Richarlison,3,false
Argentina,11,Angel Di Maria,2,false
Argentina,10,Lionel Messi,1,true
Franca,9,Olivier Giroud,2,false
Franca,10,Kylian Mbappe,1,true
Alemanha,8,Toni Kroos,2,true
Alemanha,1,Bandeira,3,false
Espanha,8,Pedri,2,false
Espanha,1,Brasao,2,false
Portugal,8,Bruno Fernandes,2,false
Portugal,7,Cristiano Ronaldo,1,true
Inglaterra,10,Jude Bellingham,2,true
Inglaterra,9,Harry Kane,2,false
Uruguai,15,Federico Valverde,2,true
Uruguai,9,Darwin Nunez,1,false
Croacia,4,Josko Gvardiol,2,false
Croacia,10,Luka Modric,1,true
Belgica,9,Romelu Lukaku,2,false
Belgica,17,Kevin De Bruyne,1,true
Holanda,4,Virgil Van Dijk,2,true
Holanda,8,Frenkie De Jong,1,false
Marrocos,2,Hakimi,2,false
Japao,9,Mitoma,2,false
Coreia do Sul,7,Son Heung-min,2,true
