Brasil,10,Neymar,3,true
Brasil,7,Vinicius Junior,2,false
Brasil,1,Brasao,5,false
Argentina,10,Lionel Messi,4,true
Argentina,1,Bandeira,2,false
Argentina,22,Lautaro Martinez,3,false
Franca,10,Kylian Mbappe,2,true
Franca,7,Antoine Griezmann,4,false
Franca,1,Brasao,2,false
Alemanha,9,Kai Havertz,3,false
Alemanha,1,Bandeira,2,false
Espanha,6,Gavi,2,false
Espanha,1,Brasao,4,false
Portugal,7,Cristiano Ronaldo,5,true
Portugal,1,Bandeira,2,false
Inglaterra,9,Harry Kane,3,false
Inglaterra,1,Brasao,2,false
Uruguai,9,Darwin Nunez,2,false
Uruguai,1,Bandeira,3,false
Croacia,10,Luka Modric,2,true
Croacia,1,Brasao,2,false
Belgica,17,Kevin De Bruyne,3,true
Belgica,1,Bandeira,2,false
Holanda,8,Frenkie De Jong,2,false
Holanda,1,Brasao,3,false
