Brasil,11,Raphinha,0,false
Brasil,9,Richarlison,0,false
Argentina,11,Angel Di Maria,0,false
Argentina,5,Leandro Paredes,0,false
Franca,9,Olivier Giroud,0,false
Franca,11,Ousmane Dembele,0,false
Alemanha,8,Toni Kroos,0,true
Alemanha,13,Thomas Muller,0,false
Espanha,8,Pedri,0,false
Espanha,9,Alvaro Morata,0,false
Portugal,8,Bruno Fernandes,0,false
Portugal,10,Bernardo Silva,0,false
Inglaterra,7,Bukayo Saka,0,false
Inglaterra,10,Jude Bellingham,0,true
Uruguai,15,Federico Valverde,0,true
Uruguai,21,Edinson Cavani,0,false
Croacia,8,Mateo Kovacic,0,false
Croacia,4,Josko Gvardiol,0,false
Belgica,7,Jeremy Doku,0,false
Belgica,9,Romelu Lukaku,0,false
Holanda,4,Virgil Van Dijk,0,true
Holanda,10,Memphis Depay,0,false
Marrocos,2,Hakimi,0,false
Japao,9,Mitoma,0,false
Coreia do Sul,7,Son Heung-min,0,true
